fecha,pais,sucursal,linea_producto,unidades,ingreso_usd,devoluciones,dias_credito,canal
2026-06-15,Costa Rica,Alajuela,Energía Solar,1,1429.04,0,60,Sucursal
2026-06-15,Costa Rica,Alajuela,Batería Industrial,1,504.47,0,0,Domicilio
2026-06-15,Costa Rica,Heredia,Batería Auto,40,3772.25,,0,Sucursal
2026-06-15,Costa Rica,Heredia,Batería Moto,32,1572.03,0,0,Sucursal
2026-06-15,Costa Rica,Heredia,Servicio a Domicilio,4,275.30,0,0,WhatsApp
2026-06-15,Costa Rica,Heredia,Respaldo de Energía,1,333.92,0,0,Sucursal
2026-06-15,Costa Rica,Heredia,Energía Solar,1,1401.20,0,30,Call center
2026-06-15,Costa Rica,Heredia,Batería Industrial,1,548.07,0,30,WhatsApp
2026-06-15,El Salvador,San Salvador Norte,Batería Moto,29,1500.32,0,15,WhatsApp
2026-06-15,El Salvador,San Salvador Norte,Servicio a Domicilio,2,127.41,0,45,WhatsApp
2026-06-15,El Salvador,San Salvador Norte,Respaldo de Energía,1,344.76,0,60,Domicilio
2026-06-15,El Salvador,San Salvador Norte,Batería Industrial,1,496.56,0,30,Domicilio
2026-06-15,El Salvador,Santa Ana,Batería Auto,33,3100.69,0,30,Call center
2026-06-15,El Salvador,Santa Ana,Batería Moto,32,1615.36,0,60,Domicilio
2026-06-15,El Salvador,Santa Ana,Servicio a Domicilio,3,194.20,0,0,Domicilio
2026-06-15,El Salvador,Santa Ana,Respaldo de Energía,1,328.34,0,0,Call center
2026-06-15,El Salvador,Santa Ana,Energía Solar,1,1543.56,0,45,Domicilio
2026-06-15,El Salvador,Santa Ana,Batería Industrial,1,537.72,0,60,WhatsApp
2026-06-15,El Salvador,Soyapango,BATERÍA AUTO,42,4067.13,0,15,WhatsApp
2026-06-15,El Salvador,Soyapango,Servicio a Domicilio,3,190.95,0,30,WhatsApp
2026-06-15,El Salvador,Soyapango,Respaldo de Energía,2,727.12,,0,Call center
2026-06-15,El Salvador,Soyapango,Energía Solar,1,1533.91,0,0,Sucursal
2026-06-15,Guatemala,Zona 4,BATERÍA AUTO,38,3554.20,2,30,WhatsApp
2026-06-15,Guatemala,Zona 4,Batería Moto,23,1125.93,1,0,Sucursal
2026-06-15,Guatemala,Zona 4,Respaldo de Energía,1,363.58,0,45,Sucursal
2026-06-15,Guatemala,Zona 4,Energía Solar,1,1414.75,0,30,Call center
2026-06-15,Guatemala,Mixco,Batería Auto,27,2657.12,0,45,Domicilio
2026-06-15,Guatemala,Mixco,Batería Moto,28,1415.84,1,0,Domicilio
2026-06-15,Guatemala,Mixco,Servicio a Domicilio,3,210.48,0,60,Sucursal
2026-06-15,Guatemala,Mixco,Batería Industrial,1,522.47,0,0,Call center
2026-06-15,Guatemala,Quetzaltenango,Batería Auto,36,34523.17,2,60,WhatsApp
2026-06-15,Guatemala,Quetzaltenango,Batería Moto,26,1283.09,1,0,WhatsApp
2026-06-15,Guatemala,Quetzaltenango,Respaldo de Energía,1,325.33,0,0,Domicilio
2026-06-15,Guatemala,Quetzaltenango,Energía Solar,1,1488.25,0,0,WhatsApp
2026-06-15,Guatemala,Quetzaltenango,Batería Industrial,1,500.01,0,45,Sucursal
2026-05-15,Costa Rica,Heredia,Servicio a Domicilio,4,251.71,0,0,Call center
2026-03-15,El Salvador,Santa Ana,Batería Moto,22,1058.53,0,0,Call center
2026-04-15,Costa Rica,Alajuela,Batería Auto,35,3387.22,0,0,Call center
